,Municipios,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007 (5),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
94,Molar (El),346280,350140,168909,183674,175334,174029,986523,523902,564617,500298,316987,302581,289252,307854,312367,329038,336324,371735,418698,425534,455256,414601,454607,449010,463857,531860,456159,401379,354170,422160,445249,446445,487578,462665,504103,511806,494738
95,Molinos (Los),291290,0,258332,184304,289808,341365,385009,357025,325507,388739,395406,391294,407848,416607,411365,468619,472617,522921,630053,611395,725788,572196,597465,544972,646556,548631,550873,599998,496357,500585,531573,519524,559342,495818,555594,541017,536921
96,Montejo de la Sierra,0,0,0,0,0,0,182,3326,19582,16559,18183,19744,19069,0,0,0,0,0,0,0,0,27629,30180,32481,32168,35911,33323,31263,32344,30588,31723,28766,27736,27235,30906,34357,33904
97,Moraleja de Enmedio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256249,290436,290139,320708,341920,348660,336232,354740,331657,333250,306926,370458,315233,321373,313488,330675,339262,346248,328681,360605,347768,386351
98,Moralzarzal,615918,0,855573,561744,346595,536517,616573,469008,433266,452600,529848,549347,532935,567039,629013,708452,788153,841651,924907,934782,1111994,928899,976396,1042899,1036425,940298,1105551,993647,907100,901794,931310,943438,988916,934447,1028705,1022837,1027747
99,Morata de Tajuña,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376239,431689,443484,466676,450345,527802,487179,481104,512855,422799,410322,416582,367756,371760,368384,369540,386487,401157,380316,411786,422436,405156
100,Móstoles,12329501,11257039,11958920,12432793,9227236,12438340,12720690,13030283,11193210,11980511,11601932,11977755,12562376,11977024,12649445,12780815,12975275,13126009,13351828,13111857,14213606,12154224,12260196,13554015,11026636,10629112,12566154,10649064,10823266,10742381,11025206,11305745,11419638,10969997,11329426,11403266,10985257
101,Navacerrada,292710,0,321302,253922,258444,481145,444250,187190,268226,317031,334131,244258,193434,205962,213211,233253,208947,171372,177900,257261,362814,385568,360750,372993,353627,332203,377351,332581,322073,329924,364711,349922,366248,334011,371785,377735,360772
102,Navalafuente,0,0,0,7583,48546,72915,120045,54101,85567,96558,97123,91424,91233,90700,106784,110170,120004,136925,140120,124593,167116,126531,129812,132920,135223,117150,138506,127180,124884,146360,135855,138155,150252,144898,184690,186451,204181
103,Navalagamella,69566,0,58533,94344,81838,147907,126380,105992,106173,121963,118175,125307,125128,125787,147191,143623,145294,151041,161226,163716,165181,154238,152511,151812,167734,157035,169315,159457,149427,149199,152301,152535,162165,151355,174392,194030,187606
